Date,Sales
02-01-2012,20
09-01-2012,22
16-01-2012,22
23-01-2012,24
30-01-2012,23
06-02-2012,21
13-02-2012,23
20-02-2012,33
27-02-2012,20
05-03-2012,42
12-03-2012,27
19-03-2012,42
26-03-2012,26
02-04-2012,69
09-04-2012,7
16-04-2012,59
23-04-2012,24
30-04-2012,61
07-05-2012,5
14-05-2012,38
21-05-2012,28
28-05-2012,35
04-06-2012,41
11-06-2012,44
18-06-2012,44
25-06-2012,41
02-07-2012,42
09-07-2012,55
16-07-2012,44
23-07-2012,59
30-07-2012,37
06-08-2012,5
13-08-2012,32
20-08-2012,42
27-08-2012,38
03-09-2012,34
10-09-2012,27
17-09-2012,29
24-09-2012,31
01-10-2012,31
08-10-2012,28
15-10-2012,31
22-10-2012,37
29-10-2012,42
05-11-2012,28
12-11-2012,28
19-11-2012,19
26-11-2012,34
03-12-2012,29
10-12-2012,32
17-12-2012,42
24-12-2012,14
31-12-2012,23
07-01-2013,21
14-01-2013,35
21-01-2013,23
28-01-2013,31
04-02-2013,24
11-02-2013,25
18-02-2013,36
25-02-2013,35
04-03-2013,42
11-03-2013,37
18-03-2013,136
25-03-2013,16
01-04-2013,34
08-04-2013,25
15-04-2013,21
22-04-2013,62
29-04-2013,21
06-05-2013,7
13-05-2013,99
20-05-2013,25
27-05-2013,36
03-06-2013,36
10-06-2013,34
17-06-2013,41
24-06-2013,108
01-07-2013,37
08-07-2013,39
15-07-2013,36
22-07-2013,24
29-07-2013,45
05-08-2013,36
12-08-2013,48
19-08-2013,45
26-08-2013,78
02-09-2013,59
09-09-2013,31
16-09-2013,30
23-09-2013,52
30-09-2013,40
07-10-2013,40
14-10-2013,31
21-10-2013,38
28-10-2013,47
04-11-2013,26
11-11-2013,32
18-11-2013,30
25-11-2013,34
02-12-2013,32
09-12-2013,37
16-12-2013,48
23-12-2013,21
30-12-2013,12
06-01-2014,36
13-01-2014,24
20-01-2014,35
27-01-2014,41
03-02-2014,39
10-02-2014,28
17-02-2014,37
24-02-2014,43
03-03-2014,40
10-03-2014,10
17-03-2014,38
24-03-2014,38
31-03-2014,28
07-04-2014,27
14-04-2014,50
21-04-2014,22
28-04-2014,24
05-05-2014,30
12-05-2014,41
19-05-2014,39
26-05-2014,37
02-06-2014,41
09-06-2014,39
16-06-2014,37
23-06-2014,50
30-06-2014,42
07-07-2014,44
14-07-2014,52
21-07-2014,42
28-07-2014,45
04-08-2014,45
11-08-2014,45
18-08-2014,48
25-08-2014,36
01-09-2014,49
08-09-2014,31
15-09-2014,33
22-09-2014,38
29-09-2014,29
06-10-2014,40
13-10-2014,39
20-10-2014,34
27-10-2014,35
03-11-2014,31
10-11-2014,22
17-11-2014,38
24-11-2014,39
01-12-2014,29
08-12-2014,31
15-12-2014,33
22-12-2014,34
29-12-2014,20
05-01-2015,48
12-01-2015,29
19-01-2015,29
26-01-2015,31
02-02-2015,32
09-02-2015,33
16-02-2015,26
23-02-2015,35
02-03-2015,30
09-03-2015,32
16-03-2015,33
23-03-2015,45
30-03-2015,29
06-04-2015,33
13-04-2015,35
20-04-2015,25
27-04-2015,28
04-05-2015,34
11-05-2015,25
18-05-2015,32
25-05-2015,39
01-06-2015,33
08-06-2015,53
15-06-2015,51
22-06-2015,54
29-06-2015,55
06-07-2015,47
13-07-2015,54
20-07-2015,54
27-07-2015,73
03-08-2015,50
10-08-2015,53
17-08-2015,56
24-08-2015,41
31-08-2015,41
07-09-2015,44
14-09-2015,33
21-09-2015,36
28-09-2015,33
05-10-2015,44
12-10-2015,35
19-10-2015,40
26-10-2015,22
02-11-2015,32
09-11-2015,36
16-11-2015,26
23-11-2015,31
30-11-2015,32
07-12-2015,35
14-12-2015,34
21-12-2015,43
28-12-2015,27
04-01-2016,21
11-01-2016,37
18-01-2016,34
25-01-2016,27
01-02-2016,33
08-02-2016,27
15-02-2016,39
22-02-2016,33
29-02-2016,38
07-03-2016,43
14-03-2016,47
21-03-2016,37
28-03-2016,37
04-04-2016,47
11-04-2016,29
18-04-2016,31
25-04-2016,39
02-05-2016,39
09-05-2016,54
16-05-2016,37
23-05-2016,44
30-05-2016,55
06-06-2016,62
13-06-2016,52
20-06-2016,70
27-06-2016,48
04-07-2016,59
11-07-2016,66
18-07-2016,75
25-07-2016,68
01-08-2016,51
08-08-2016,27
15-08-2016,54
22-08-2016,46
29-08-2016,54
05-09-2016,39
12-09-2016,55
19-09-2016,32
26-09-2016,35
03-10-2016,35
10-10-2016,35
17-10-2016,28
24-10-2016,39
31-10-2016,28
07-11-2016,37
14-11-2016,16
21-11-2016,31
28-11-2016,30
05-12-2016,38
12-12-2016,32
19-12-2016,39
26-12-2016,33
02-01-2017,23
09-01-2017,29
16-01-2017,31
23-01-2017,36
30-01-2017,25
06-02-2017,27
13-02-2017,31
20-02-2017,40
27-02-2017,38
06-03-2017,36
13-03-2017,27
20-03-2017,39
27-03-2017,32
03-04-2017,33
10-04-2017,37
17-04-2017,22
24-04-2017,43
01-05-2017,34
08-05-2017,40
15-05-2017,36
22-05-2017,44
29-05-2017,49
05-06-2017,33
12-06-2017,52
19-06-2017,53
26-06-2017,42
03-07-2017,53
10-07-2017,45
17-07-2017,68
24-07-2017,51
31-07-2017,74
07-08-2017,57
14-08-2017,84
21-08-2017,50
28-08-2017,64
04-09-2017,43
11-09-2017,54
18-09-2017,38
25-09-2017,35
02-10-2017,36
09-10-2017,26
16-10-2017,41
23-10-2017,30
30-10-2017,39
06-11-2017,34
13-11-2017,39
20-11-2017,28
27-11-2017,39
04-12-2017,36
11-12-2017,32
18-12-2017,41
25-12-2017,24
01-01-2018,20
08-01-2018,45
15-01-2018,29
22-01-2018,40
29-01-2018,29
05-02-2018,45
12-02-2018,32
19-02-2018,36
26-02-2018,31
05-03-2018,49
12-03-2018,43
19-03-2018,58
26-03-2018,39
02-04-2018,41
09-04-2018,33
16-04-2018,41
23-04-2018,32
30-04-2018,30
07-05-2018,43
14-05-2018,41
21-05-2018,41
28-05-2018,48
04-06-2018,45
11-06-2018,41
18-06-2018,48
25-06-2018,48
02-07-2018,43
09-07-2018,43
16-07-2018,60
23-07-2018,43
30-07-2018,69
06-08-2018,62
13-08-2018,51
20-08-2018,51
27-08-2018,69
03-09-2018,63
